simplified	traditional	pronunciation	meaning	hsklevel
枚	枚	mei2	classifier for small objects: coins, badges, rings, carved seals, chess pieces, eggs, fingerprints etc (more formal than 個|个[ge4]); classifier for bombs, missiles, satellites etc; (on product packaging) classifier for flat items (from Japanese 枚 "mai"); (old) stick used as a gag to prevent soldiers from talking while sneaking up on the enemy	7-9
果园	果園	guo3 yuan2	orchard	7-9
果实	果實	guo3 shi2	fruit (produced by a plant); (fig.) fruits (of success etc); results; gains	4
果断	果斷	guo3 duan4	firm; decisive	7-9
果树	果樹	guo3 shu4	fruit tree; CL:棵[ke1]	6
果汁	果汁	guo3 zhi1	fruit juice	3
果然	果然	guo3 ran2	really; sure enough; as expected; if indeed	3
果真	果真	guo3 zhen1	really; as expected; sure enough; if indeed...; if it's really...	7-9
果酱	果醬	guo3 jiang4	jam	6
枝	枝	zhi1	branch; classifier for sticks, rods, pencils etc	6
枯燥	枯燥	ku1 zao4	dry and dull; uninteresting; tedious	7-9
拐	枴	guai3	cane; walking stick; crutch; old man's staff	6
架	架	jia4	to support; frame; rack; framework; classifier for planes, large vehicles, radios etc	3
架势	架勢	jia4 shi5	attitude; position (on an issue etc)	7-9
架子	架子	jia4 zi5	shelf; frame; stand; framework; airs; arrogance	7-9
柏树	柏樹	bai3 shu4	cypress tree; Taiwan pr. [bo2 shu4]	7-9
某	某	mou3	some; a certain; sb or sth indefinite; such-and-such	3
染	染	ran3	to dye; to catch (a disease); to acquire (bad habits etc); to contaminate; to add color washes to a painting	5
柔和	柔和	rou2 he2	gentle; soft	7-9
柔软	柔軟	rou2 ruan3	soft	7-9
查	查	Zha1	surname Zha	2
查	查	cha2	to research; to check; to investigate; to examine; to refer to; to look up (e.g. a word in a dictionary)	2
查	查	zha1	variant of 楂[zha1]	2
查出	查出	cha2 chu1	to find out; to discover	6
查找	查找	cha2 zhao3	to search for; to look up	7-9
查明	查明	cha2 ming2	to investigate and find out; to ascertain	7-9
查看	查看	cha2 kan4	to look over; to examine; to check up; to ferret out	6
查处	查處	cha2 chu3	to investigate and handle (a criminal case)	7-9
查询	查詢	cha2 xun2	to check; to inquire; to consult (a document etc); inquiry; query	5
柱子	柱子	zhu4 zi5	pillar; CL:根[gen1]	6
柳树	柳樹	liu3 shu4	willow	7-9
拐	柺	guai3	variant of 枴|拐[guai3]	6
柿子	柿子	shi4 zi5	persimmon; (Northeastern dialect) tomato	7-9
校园	校園	xiao4 yuan2	campus	2
校长	校長	xiao4 zhang3	(college, university) president; headmaster; CL:個|个[ge4],位[wei4],名[ming2]	2
株	株	zhu1	tree trunk; stump (tree root); a plant; classifier for trees or plants; strain (biology); to involve others (in shady business)	7-9
核	核	he2	pit; stone; nucleus; nuclear; to examine; to check; to verify	7-9
核实	核實	he2 shi2	to verify; to check	7-9
核对	核對	he2 dui4	to check; to verify; to audit; to examine	7-9
核心	核心	he2 xin1	core; nucleus	6
核桃	核桃	he2 tao5	walnut; CL:顆|颗[ke1]	7-9
核武器	核武器	he2 wu3 qi4	nuclear weapon	7-9
核能	核能	he2 neng2	nuclear energy	7-9
核电站	核電站	he2 dian4 zhan4	nuclear power plant	7-9
根	根	gen1	root; basis; classifier for long slender objects, e.g. cigarettes, guitar strings; CL:條|条[tiao2]; radical (chemistry)	4
根基	根基	gen1 ji1	foundation	7-9
根据	根據	gen1 ju4	according to; based on; basis; foundation; CL:個|个[ge4]	4
根本	根本	gen1 ben3	fundamental; basic; root; simply; absolutely (not); (not) at all; CL:個|个[ge4]	3
根治	根治	gen1 zhi4	to bring under permanent control; to effect a radical cure	7-9
根深蒂固	根深蒂固	gen1 shen1 di4 gu4	deep-rooted (problem etc)	7-9
根源	根源	gen1 yuan2	origin; root (cause)	7-9
格	格	ge1	used in 格登[ge1 deng1]; used in 格格[ge1 ge1]	7-9
格	格	ge2	square; lattice; grid; frame; compartment; partition; slot (within a larger unit); (bound form) standard; norm; specification; (bound form) character; disposition; moral quality; style; aesthetic tone; (bound form) rhetorical form; stylistic pattern; (bound form) (linguistics) grammatical case; (literary) to correct; to rectify; (literary) to arrive at; to reach; (literary) to obstruct; to hinder; (literary) to investigate exhaustively; classifier for compartments, slots or cells within a larger unit	7-9
格外	格外	ge2 wai4	especially; particularly; even more than usual; extra; additional	4
格局	格局	ge2 ju2	structure; pattern; layout	7-9
格式	格式	ge2 shi4	form; specification; format	7-9
格格不入	格格不入	ge2 ge2 bu4 ru4	(idiom) inharmonious; incompatible	7-9
栽	栽	zai1	to plant; to grow; to insert; to erect (e.g. a bus stop sign); to impose sth on sb; to stumble; to fall down	7-9
栽培	栽培	zai1 pei2	to grow; to cultivate; to train; to educate; to patronize	7-9
桂花	桂花	gui4 hua1	osmanthus flowers; Osmanthus fragrans	7-9
桃	桃	tao2	peach	5
桃树	桃樹	tao2 shu4	peach tree; CL:株[zhu1]	5
桃花	桃花	tao2 hua1	peach blossom; (fig.) love affair	5
框	框	kuang4	frame (e.g. door frame); casing; fig. framework; template; to circle (i.e. draw a circle around sth); to frame; to restrict; Taiwan pr. [kuang1]	7-9
框架	框架	kuang4 jia4	(construction) frame; (fig.) framework	7-9
案件	案件	an4 jian4	case; instance; CL:宗[zong1],樁|桩[zhuang1],起[qi3]	7-9
桌子	桌子	zhuo1 zi5	table; desk; CL:張|张[zhang1],套[tao4]	1
桑拿	桑拿	sang1 na2	(loanword) sauna	7-9
杯	桮	bei1	variant of 杯[bei1]	1
桶	桶	tong3	bucket; (trash) can; barrel (of oil etc); CL:個|个[ge4],隻|只[zhi1]	7-9
杆	桿	gan3	stick; pole; lever; classifier for long objects such as guns	6
梅花	梅花	mei2 hua1	plum blossom; clubs ♣ (a suit in card games); (dialect) wintersweet	6
条	條	tiao2	strip; item; article; clause (of law or treaty); classifier for long thin things (ribbon, river, road, trousers etc)	2
条件	條件	tiao2 jian4	condition; circumstance; term; factor; requirement; prerequisite; qualification; situation; state; condition; CL:個|个[ge4]	2
条例	條例	tiao2 li4	regulations; rules; code of conduct; ordinances; statutes	7-9
条款	條款	tiao2 kuan3	clause (of contract or law); CL:項|项[xiang4]	7-9
条约	條約	tiao2 yue1	treaty; pact; CL:個|个[ge4]	7-9
梨	梨	li2	pear; CL:個|个[ge4]	5
梯子	梯子	ti1 zi5	ladder; stepladder; (Internet slang) VPN or other tool used to circumvent internet censorship	7-9
梳	梳	shu1	to comb; (bound form) a comb	7-9
梳子	梳子	shu1 zi5	comb; CL:把[ba3]	7-9
梳理	梳理	shu1 li3	to comb; fig. to sort out	7-9
棉	棉	mian2	generic term for cotton or kapok; cotton; padded or quilted with cotton	6
棉花	棉花	mian2 hua5	cotton	7-9
棋	棊	qi2	variant of 棋[qi2]	7-9
棋	棋	qi2	chess; chess-like game; a game of chess; CL:盤|盘[pan2]; chess piece; CL:個|个[ge4],顆|颗[ke1]	7-9
棋子	棋子	qi2 zi3	chess piece; CL:個|个[ge4],顆|颗[ke1]; (fig.) a pawn (used by others for their own purposes)	7-9
棍	棍	gun4	stick; rod; truncheon; scoundrel; villain	7-9
棍子	棍子	gun4 zi5	stick; rod	7-9
棒	棒	bang4	stick; club; cudgel; smart; capable; strong; wonderful; classifier for legs of a relay race	5
棒球	棒球	bang4 qiu2	baseball; CL:個|个[ge4],隻|只[zhi1]	7-9
枣	棗	zao3	(bound form) jujube; Chinese date (Zizyphus jujuba)	7-9
棘手	棘手	ji2 shou3	thorny (problem); intractable	7-9
栋	棟	dong4	classifier for houses or buildings; ridgepole (old)	7-9
栋梁	棟梁	dong4 liang2	ridgepole; ridgepole and beams; person able to bear heavy responsibility; mainstay (of organization); pillar (of state)	7-9
森林	森林	sen1 lin2	forest; CL:片[pian4]	4
棵	棵	ke1	classifier for trees, cabbages, plants etc	4
棺材	棺材	guan1 cai5	coffin; CL:具[ju4],口[kou3]	7-9
碗	椀	wan3	variant of 碗[wan3]	2
椅子	椅子	yi3 zi5	chair; CL:把[ba3],張|张[zhang1]	2
乘	椉	cheng2	old variant of 乘[cheng2]	5
植物	植物	zhi2 wu4	plant; vegetation; CL:種|种[zhong3]	4
椰子	椰子	ye1 zi5	a coconut palm; a coconut	7-9
杨树	楊樹	yang2 shu4	poplar tree; various trees of genus Populus	7-9
业务	業務	ye4 wu4	business; professional work; service; CL:項|项[xiang4]	5
业绩	業績	ye4 ji4	achievement; accomplishment; (in more recent usage) performance (of a business, employee etc); results	7-9
业余	業餘	ye4 yu2	in one's spare time; outside working hours; amateur (historian etc)	4
极	極	ji2	extremely; pole (geography, physics); utmost; top	4
极其	極其	ji2 qi2	extremely	4
极力	極力	ji2 li4	to make a supreme effort; at all costs	7-9
极少数	極少數	ji2 shao3 shu4	extremely few; a small minority	7-9
极度	極度	ji2 du4	extremely	7-9
极为	極為	ji2 wei2	extremely; exceedingly	7-9
极端	極端	ji2 duan1	extreme	6
极限	極限	ji2 xian4	limit; extreme boundary	7-9
楷模	楷模	kai3 mo2	model; example	7-9
概念	概念	gai4 nian4	concept; idea; CL:個|个[ge4]	3
概括	概括	gai4 kuo4	to summarize; to generalize; briefly; in broad outline	4
概况	概況	gai4 kuang4	general situation; summary	7-9
概率	概率	gai4 lu:4	probability (math.)	7-9
概论	概論	gai4 lun4	outline; introduction; survey; general discussion	7-9
榜样	榜樣	bang3 yang4	model; example (for people to follow); (in reference to a person) role model	7-9
榨	榨	zha4	to press; to extract (juice); device for extracting juice, oils etc	7-9
荣幸	榮幸	rong2 xing4	honored (to have the privilege of ...)	7-9
荣获	榮獲	rong2 huo4	be honored with	7-9
荣誉	榮譽	rong2 yu4	honor; credit; glory; (honorable) reputation; honorary	7-9
构建	構建	gou4 jian4	to construct (sth abstract)	6
构思	構思	gou4 si1	to design; to plot; to plan out; to compose; to draw a mental sketch; conception; plan; idea; composition	7-9
构想	構想	gou4 xiang3	to conceive; concept	7-9
构成	構成	gou4 cheng2	to constitute; to form; to compose; to make up; to configure (computing)	4
构造	構造	gou4 zao4	structure; composition; tectonic (geology); CL:個|个[ge4]	4
枪	槍	Qiang1	surname Qiang	5
枪	槍	qiang1	gun; firearm; rifle; spear; thing with shape or function similar to a gun; CL:支[zhi1],把[ba3],桿|杆[gan3],條|条[tiao2],枝[zhi1]; to substitute for another person in a test; to knock; classifier for rifle shots	5
枪毙	槍斃	qiang1 bi4	to execute by firing squad; to shoot dead; fig. to discard; to get rid of	7-9
槐树	槐樹	huai2 shu4	locust tree (Sophora japonica)	7-9
杠铃	槓鈴	gang4 ling2	barbell	7-9
槽	槽	cao2	trough; manger; groove; channel; (Tw) (computing) hard drive	7-9
桩	樁	zhuang1	stump; stake; pile; classifier for events, cases, transactions, affairs etc	7-9
乐	樂	Le4	surname Le	3
乐	樂	Yue4	surname Yue	3
乐	樂	lao4	used in place names	3
乐	樂	le4	happy; cheerful; to laugh	3
乐	樂	yue4	music	3
乐器	樂器	yue4 qi4	musical instrument; CL:件[jian4]	7-9
乐园	樂園	le4 yuan2	paradise	7-9
乐意	樂意	le4 yi4	to be willing to do sth; to be ready to do sth; to be happy to do sth; content; satisfied	7-9
乐曲	樂曲	yue4 qu3	musical composition	6
乐观	樂觀	le4 guan1	optimistic; hopeful	3
乐趣	樂趣	le4 qu4	delight; pleasure; joy	4
乐队	樂隊	yue4 dui4	band; pop group; CL:支[zhi1]	3
楼	樓	Lou2	surname Lou	1
楼	樓	lou2	house with more than 1 story; storied building; floor; CL:層|层[ceng2],座[zuo4],棟|栋[dong4]	1
楼上	樓上	lou2 shang4	upstairs; (Internet slang) previous poster in a forum thread	1
楼下	樓下	lou2 xia4	downstairs	1
楼房	樓房	lou2 fang2	a building of two or more stories; CL:棟|栋[dong4],幢[zhuang4],座[zuo4]	6
楼梯	樓梯	lou2 ti1	stair; staircase; CL:個|个[ge4]	4
楼道	樓道	lou2 dao4	corridor; passageway (in storied building)	6
标	標	biao1	mark; sign; label; to mark with a symbol, label, lettering etc; to bear (a brand name, registration number etc); prize; award; bid; target; quota; (old) the topmost branches of a tree; visible symptom; classifier for military units	7-9
标本	標本	biao1 ben3	specimen; sample; the root cause and symptoms of a disease	7-9
标榜	標榜	biao1 bang3	to flaunt; to advertise; to parade; boost; excessive praise	7-9
标准	標準	biao1 zhun3	standard; norm; criterion; (adjective) standard; good; correct; conforming to a standard	3
标示	標示	biao1 shi4	to indicate	7-9
标签	標籤	biao1 qian1	label; tag; (computing) tab (GUI element)	7-9
标致	標致	Biao1 zhi4	Peugeot (automobile brand)	7-9
标致	標致	biao1 zhi5	(of a woman) beautiful; pretty	7-9
标志	標誌	biao1 zhi4	sign; mark; symbol; logo; to symbolize; to indicate; to mark	4
标语	標語	biao1 yu3	written slogan; placard; CL:幅[fu2],張|张[zhang1],條|条[tiao2]	7-9
标题	標題	biao1 ti2	title; heading; headline; caption; subject	3
枢纽	樞紐	shu1 niu3	hub (e.g. of traffic network); hinge; pivot; fulcrum	7-9
模仿	模仿	mo2 fang3	to imitate; to copy; to emulate; to mimic; model	5
模型	模型	mo2 xing2	model; mold; matrix; pattern	4
模式	模式	mo2 shi4	mode; pattern; model	5
模拟	模擬	mo2 ni3	imitation; to simulate; to imitate; analog (device, as opposed to digital)	7-9
模样	模樣	mu2 yang4	look; style; appearance; approximation; about; CL:個|个[ge4]; also pr. [mo2 yang4]	5
模特儿	模特兒	mo2 te4 r5	(fashion) model (loanword)	4
模范	模範	mo2 fan4	model; fine example	5
模糊	模糊	mo2 hu5	vague; indistinct; fuzzy; to blur; to obscure; to confuse; to mix up	5
样	樣	yang4	manner; pattern; way; appearance; shape; classifier: kind, type	6
样品	樣品	yang4 pin3	sample; specimen	7-9
样子	樣子	yang4 zi5	appearance; manner; pattern; model	2
样本	樣本	yang4 ben3	sample; specimen	7-9
朴实	樸實	pu3 shi2	plain; simple; guileless; down-to-earth; sincere and honest	7-9
朴素	樸素	pu3 su4	plain and simple; unadorned; simple living; not frivolous	7-9
树	樹	shu4	tree; CL:棵[ke1]; to cultivate; to set up	1
树木	樹木	shu4 mu4	tree	7-9
树林	樹林	Shu4 lin2	Shulin city in New Taipei City 新北市[Xin1 bei3 shi4], Taiwan	4
树林	樹林	shu4 lin2	woods; grove; forest	4
树枝	樹枝	shu4 zhi1	branch; twig	7-9
树梢	樹梢	shu4 shao1	the tip of a tree; treetop	7-9
树立	樹立	shu4 li4	to set up; to establish	7-9
树叶	樹葉	shu4 ye4	tree leaves	4
树荫	樹蔭	shu4 yin1	shade of a tree; Taiwan pr. [shu4yin4]	7-9
桥	橋	qiao2	bridge; CL:座[zuo4]	3
桥梁	橋梁	qiao2 liang2	bridge (lit. and fig.)	6
橘子	橘子	ju2 zi5	tangerine; CL:個|个[ge4],瓣[ban4]	7-9
橙汁	橙汁	cheng2 zhi1	orange juice; CL:瓶[ping2],杯[bei1],罐[guan4],盒[he2]	7-9
机制	機制	ji1 zhi4	mechanism	5
机动	機動	ji1 dong4	locomotive; motorized; power-driven; adaptable; flexible (use, treatment, timing etc)	7-9
机动车	機動車	ji1 dong4 che1	motor vehicle	6
机器	機器	ji1 qi4	machine; CL:臺|台[tai2],部[bu4],個|个[ge4]	3
机器人	機器人	ji1 qi4 ren2	robot; android	5
机场	機場	ji1 chang3	airport; airfield; (slang) service provider for Shadowsocks or similar software for circumventing Internet censorship; CL:家[jia1],處|处[chu4]	1
机密	機密	ji1 mi4	secret; classified; classified information; secret	7-9
机智	機智	ji1 zhi4	quick-witted; resourceful	7-9
机会	機會	ji1 hui4	opportunity; chance; occasion; CL:個|个[ge4]	2
机械	機械	ji1 xie4	machine; machinery; mechanical; (old) cunning; scheming	6
机构	機構	ji1 gou4	mechanism; structure; organization; agency; institution; CL:所[suo3]	4
机票	機票	ji1 piao4	plane ticket; airline ticket; CL:張|张[zhang1]	1
机舱	機艙	ji1 cang1	cabin of a plane	7-9
机制	機製	ji1 zhi4	machine-processed; machine-made	5
机遇	機遇	ji1 yu4	opportunity; favorable turn of events; stroke of luck	4
机关	機關	ji1 guan1	mechanism; gear; machine-operated; office; agency; organ; organization; establishment; institution; body; stratagem; scheme; intrigue; plot; trick	6
机灵	機靈	ji1 ling5	clever; quick-witted	7-9
橡皮	橡皮	xiang4 pi2	rubber; an eraser; CL:塊|块[kuai4]	7-9
橡胶	橡膠	xiang4 jiao1	rubber; caoutchouc	7-9
横	橫	heng2	horizontal; across; crosswise; horizontal stroke (in Chinese characters); to place (sth) flat (on a surface); to cross (a river, etc); in a jumble; chaotic; (in fixed expressions) harsh and unreasonable; violent	7-9
横	橫	heng4	harsh and unreasonable; unexpected	7-9
横七竖八	橫七豎八	heng2 qi1 shu4 ba1	in disorder; at sixes and sevens (idiom)	7-9
横向	橫向	heng2 xiang4	horizontal; orthogonal; perpendicular; lateral; crosswise	7-9
档	檔	dang3	(Tw) gear (variant of 擋|挡[dang3])	6
档	檔	dang4	(bound form) shelves (for files); pigeonholes; (bound form) files; crosspiece (of a table etc); (bound form) (of goods) grade; vendor's open-air stall; (Tw) timeslot for a show or program; classifier for shows; classifier for events, affairs etc; Taiwan pr. [dang3]	6
档案	檔案	dang4 an4	file; record; archive	6
档次	檔次	dang4 ci4	grade; class; quality; level	7-9
检察	檢察	jian3 cha2	to inspect; (law) to prosecute; to investigate	7-9
检查	檢查	jian3 cha2	inspection; to examine; to inspect; CL:次[ci4]	2
检测	檢測	jian3 ce4	to test; to detect	4
检讨	檢討	jian3 tao3	to examine or inspect; self-criticism; review	7-9
检验	檢驗	jian3 yan4	to inspect; to examine; to test	5
台	檯	tai2	desk; table; counter	3
台灯	檯燈	tai2 deng1	desk lamp; table lamp	6
柜台	櫃台	gui4 tai2	variant of 櫃檯|柜台[gui4 tai2]	7-9
柜子	櫃子	gui4 zi5	cupboard; cabinet	5
柜台	櫃檯	gui4 tai2	sales counter; front desk; bar; (of financial trading, medicines etc) OTC (over-the-counter)	7-9
柜台	櫃臺	gui4 tai2	variant of 櫃檯|柜台[gui4 tai2]	7-9
