simplified	traditional	pronunciation	meaning	hsklevel
不起眼	不起眼	bu4 qi3 yan3	unremarkable; nothing out of the ordinary	7-9
不足	不足	bu4 zu2	insufficient; lacking; deficiency; not enough; inadequate; not worth; cannot; should not	5
不辞而别	不辭而別	bu4 ci2 er2 bie2	to leave without saying good-bye	7-9
不通	不通	bu4 tong1	to be obstructed; to be blocked up; to be impassable; to make no sense; to be illogical	6
不过	不過	bu4 guo4	only; merely; no more than; but; however; anyway (to get back to a previous topic); cannot be more (after adjectival)	2
不适	不適	bu4 shi4	unwell; indisposed; out of sorts	7-9
不错	不錯	bu4 cuo4	correct; right; not bad; pretty good	2
不顾	不顧	bu4 gu4	in spite of; regardless of	5
丑	丑	Chou3	surname Chou	5
丑	丑	chou3	clown; 2nd earthly branch: 1-3 a.m., 12th solar month (6th January to 3rd February), year of the Ox; ancient Chinese compass point: 30°	5
世代	世代	shi4 dai4	for many generations; generation; era; age	7-9
世故	世故	shi4 gu4	the ways of the world	7-9
世故	世故	shi4 gu5	sophisticated; worldly-wise	7-9
世界	世界	shi4 jie4	world	3
世界杯	世界杯	Shi4 jie4 bei1	World Cup	3
世界级	世界級	shi4 jie4 ji2	world-class	7-9
世纪	世紀	shi4 ji4	century	3
世袭	世襲	shi4 xi2	succession; inheritance; hereditary	7-9
丘陵	丘陵	qiu1 ling2	hills	7-9
丙	丙	bing3	third of the ten Heavenly Stems 十天干[shi2 tian1 gan1]; third in order; letter "C" or Roman "III" in list "A, B, C", or "I, II, III" etc; ancient Chinese compass point: 165°; propyl	7-9
丢	丟	diu1	to lose; to put aside; to throw	5
丢人	丟人	diu1 ren2	to lose face	7-9
丢失	丟失	diu1 shi1	to lose; to misplace	7-9
丢掉	丟掉	diu1 diao4	to lose; to throw away; to discard; to cast away	7-9
丢弃	丟棄	diu1 qi4	to discard; to abandon	7-9
丢脸	丟臉	diu1 lian3	to lose face; humiliation	7-9
并且	並且	bing4 qie3	and; besides; moreover; furthermore; in addition	3
并列	並列	bing4 lie4	to stand side by side; to be juxtaposed	7-9
并行	並行	bing4 xing2	to proceed in parallel; side by side (of two processes, developments, thoughts etc)	7-9
并非	並非	bing4 fei1	really isn't	7-9
丫头	丫頭	ya1 tou5	girl; servant girl; (used deprecatingly, but sometimes also as a term of endearment)	7-9
中	中	Zhong1	(bound form) China; Chinese; surname Zhong	1
